	url	title	description	price	District	m2	Data dodania	Na sprzedaż przez	Rodzaj nieruchomości	Liczba pokoi	Liczba łazienek
0	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/mieszkanie-warszawa-srodmiescie-93-9m2-nr-m+101293+11/10010659750571011447620009	Mieszkanie Warszawa Śródmieście 93.9m2 (nr: M-101293-11) 	<br/><br/><i>Numer oferty w biurze: M-101293-11</i><br/><br/><br/>	1500000.0	Śródmieście	94	06/03/2022	Agencja	Mieszkanie	3 pokoje	1 łazienka
1	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wawer/dom-warszawa-wawer-185m2-nr-d+100575+16/10010659776351011447620009	Dom Warszawa Wawer 185m2 (nr: D-100575-16) 	<br/><br/><i>Numer oferty w biurze: D-100575-16</i><br/><br/><br/>	1580000.0	Wawer	185	06/03/2022	Agencja	Dom	6 lub więcej pokoi	2 łazienki
2	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ochota/mieszkanie-warszawa-ochota-39-2m2-nr-m+101712+11/10010659786041011447620009	Mieszkanie Warszawa Ochota 39.2m2 (nr: M-101712-11) 	<br/><br/><i>Numer oferty w biurze: M-101712-11</i><br/><br/><br/>	500000.0	Ochota	40	06/03/2022	Agencja	Mieszkanie	2 pokoje	1 łazienka
3	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/wilanow/mieszkanie-warszawa-wilanow-51-4m2-nr-m+100859+16/10010659658971011447620009	Mieszkanie Warszawa Wilanów 51.4m2 (nr: M-100859-16) 	<br/><br/><i>Numer oferty w biurze: M-100859-16</i><br/><br/><br/>	858628.0	Wilanów	52	06/03/2022	Agencja	Mieszkanie	2 pokoje	1 łazienka
4	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bialoleka/mieszkanie-warszawa-bialoleka-92m2-nr-m+97860+16/10010659690531011447620009	Mieszkanie Warszawa Białołęka 92m2 (nr: M-97860-16) 	<br/><br/><i>Numer oferty w biurze: M-97860-16</i><br/><br/><br/>	899000.0	Białołęka	92	06/03/2022	Agencja	Mieszkanie	4 pokoje	1 łazienka
5	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/ursus/mieszkanie-45-4m2-2-pok-ursus-rakietnikow/10010659658631012797930109	Mieszkanie 45, 4m2, 2 pok., Ursus, Rakietników 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 2009</i><br/><br/><br/>	499000.0	Ursus	46	06/03/2022	Agencja	Mieszkanie	2 pokoje	
6	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3+pokojowe-+-obok-stacji-metro-slodowiec/10010659186491012890564909	3-pokojowe - obok stacji Metro Słodowiec 	"<p>Sprzedam mieszkanie o powierzchni
45,05 m2 składające się z trzech pokoi, kuchni, łazienki, przedpokoju oraz
balkonu. Do mieszkania przynależy obszerna piwnica.</p><p>Mieszkanie jest bardzo
jasne i rozkładowe, po remoncie, gotowe do zamieszkania.<br/>
<br/>
Mieści się na 1 piętrze w 8-piętrowym budynku (z windą).<br/>
<br/>
Czynsz ok 385 zł<br/>
<br/>
Status prawny: pełna własność z księgą wieczystą<br/>
<br/>
Dużym atutem mieszkania jest doskonała lokalizacja – ul.
Kasprowicza 20 na Starych Bielanach. Bardzo dobra komunikacja - 300 m do
stacji metra Słodowiec, autobusy i tramwaje.<br/>
<br/>
W okolicy
liczne sklepy, punkty usługowe i gastronomiczne, zielona i cicha okolica, w
pobliżu  Lasek Bielański, Stawy Kellera, AWF.</p><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><p>



Agencje proszę nie dzwonić, ewentualne spotkania
tylko z konkretnym klientem.<br/>
<br/>
</p><br/><br/>"	689000.0	Bielany	45	06/03/2022	Właściciel	Mieszkanie	3 pokoje	1 łazienka
7	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bialoleka/dla-mlodych-na-start-2-pok-na-wyjatkowym-osiedlu/10010659411001012115990009	Dla Młodych na START 2 pok na wyjątkowym Osiedlu 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 19371</i><br/><br/><br/>	360000.0	Białołęka	37	06/03/2022	Agencja	Mieszkanie	2 pokoje	
8	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/mini+apart-idealny-na-inwestycje-booking-airbnb/10010659358941012115990009	Mini-apart Idealny na Inwestycje BOOKING & AIRBNB 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 20255</i><br/><br/><br/>	330000.0	Śródmieście	20	06/03/2022	Agencja	Mieszkanie	Kawalerka lub garsoniera	
9	https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/srodmiescie/funkcjonalny-rozklad-3-pokoje-52-m2-w-centrum/10010659358871012115990009	FUNKCJONALNY Rozkład 3 pokoje 52 m2 w CENTRUM 	<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><i>Numer oferty w biurze: 22825</i><br/><br/><br/>	665000.0	Śródmieście	53	06/03/2022	Agencja	Mieszkanie	3 pokoje	
