,Deweloper,Inwestycja,Powierzchnia użytkowa,Piętro,Typ kuchni,Powierzchnia loggii,Rynek,Kredyt,Numer oferty,Zaktualizowano,Opublikowano,,title,url,Stan nieruchomości,Liczba pięter,Liczba łazienek,Balkon,Forma własności,Wysokość wnętrza,Rodzaj umowy,Czy łazienka z WC,Dostępne od,Na biuro,Liczba poziomów mieszkania,Powierzchnia łazienki,Powierzchnia balkonu,Taras,Liczba sypialni,Stolarka okienna,Dodatkowe koszty,Loggia
0,Dom Development S.A.,Osiedle Wilno,"55,28 m²",2,aneks,"4,55 m²",pierwotny,sprawdź ratę,morizon-f-90001,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 55 m² | Morizon.pl | 8805",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-55m2-mzn2041538805?from=top_normal_listing,,,,,,,,,,,,,,,,,,
1,,,71 m²,1 / 5,Z OKNEM,,wtórny,sprawdź ratę,morizon-267/12861/OMS,31 marca 2023,27 listopada 2022,,"Mieszkanie na sprzedaż, Warszawa Bielany, 71 m² | Morizon.pl | 5911",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bielany-heroldow-71m2-mzn2041325911,DOBRY,5,2,Tak,WŁASNOŚĆ,,,,,,,,,,,,,
2,,,53 m²,6 / 7,OTWARTA,,wtórny,sprawdź ratę,morizon-306/12861/OMS,8 marca 2023,15 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Bemowo, 53 m² | Morizon.pl | 5529",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-narwik-53m2-mzn2041495529,WYSOKI STANDARD,7,2,Tak,WŁASNOŚĆ,265 cm,,,,,,,,,,,,
3,,,"59,75 m²",1 / 4,zamknięta,,wtórny,sprawdź ratę,morizon-15013291,25 lutego 2023,23 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Wola, 60 m² | Morizon.pl | 5962",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wola-lazurowa-59m2-mzn2041525962,,4,,Tak,,,,,,,,,,,,,,
4,,,"49,56 m²",parter / 3,OTWARTA,,wtórny,sprawdź ratę,morizon-309/12861/OMS,31 marca 2023,23 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Bemowo, 50 m² | Morizon.pl | 5803",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-wroclawska-49m2-mzn2041525803,WYSOKI STANDARD,3,1,Tak,,,na wyłączność,,,,,,,,,,,
5,,,"63,5 m²",3 / 4,ODDZIELNA,,wtórny,sprawdź ratę,morizon-308/12861/OMS,30 marca 2023,19 stycznia 2023,,"Mieszkanie na sprzedaż, Warszawa Egejska, 64 m² | Morizon.pl | 4544",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-egejska-63m2-mzn2041504544,WYSOKI STANDARD,4,1,Tak,,,,,,,,,,,,,,
6,,,"77,66 m²",3 / 5,otwarta,,wtórny,sprawdź ratę,morizon-15053256,22 marca 2023,1 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Ochota, 78 m² | Morizon.pl | 0178",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-ochota-instalatorow-77m2-mzn2041700178,,5,,Tak,,,,,,,,,,,,,,
7,,,"97,18 m²",2 / 4,ODDZIELNA,,wtórny,sprawdź ratę,morizon-355/12861/OMS,wczoraj,wczoraj,,"Mieszkanie na sprzedaż, Warszawa Sarmacka, 97 m² | Morizon.pl | 6898",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-sarmacka-97m2-mzn2041886898,WYSOKI STANDARD,4,2,Tak,,,,,,,,,,,,,,
8,Cordia Polska,Fantazja na Bemowie,"42,49 m²",1 / 5,,,pierwotny,sprawdź ratę,morizon-B/09,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 42 m² | Morizon.pl | 6813",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-42m2-mzn2038046813,,5,,,,,,,,,,,,,,,,
9,,,51 m²,6 / 10,widna,,wtórny,sprawdź ratę,morizon-7048,27 marca 2023,27 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Służew, 51 m² | Morizon.pl | 2429",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-pulawska-51m2-mzn2041852429,,10,,Nie,pełna własność,265 cm,na wyłączność,razem,2022-06-01,Tak,,,,,,,,
10,,,"76,3 m²",5 / 5,otwarta,,wtórny,sprawdź ratę,morizon-15,wczoraj,5 marca 2023,,"Mieszkanie na sprzedaż, Warszawa Nowe Włochy, 76 m² | Morizon.pl | 1336",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-obywatelska-76m2-mzn2041741336,,5,2,Tak,własność,270 cm,na wyłączność,razem,2023-04-01,,1,"4,59 m²","6,49 m²",Nie,,,,
11,Cordia Polska,Fantazja na Bemowie,"99,01 m²",1 / 5,,,pierwotny,sprawdź ratę,morizon-B/07,13 marca 2023,16 lipca 2021,,"Mieszkanie w inwestycji Fantazja na Bemowie, Warszawa, 99 m² | Morizon.pl | 6812",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-bemowo-kopalniana-99m2-mzn2038046812,,5,,,,,,,,,,,,,,,,
12,Dom Development S.A.,Apartamenty Białej Koniczyny,"37,23 m²",2,aneks,,pierwotny,sprawdź ratę,morizon-f-85350,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Apartamenty Białej Koniczyny, Warszawa, 37 m² | Morizon.pl | 2839",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-mokotow-bialej-koniczyny-5-37m2-mzn2041532839,,,,Tak,,,,,,,,,"4,95 m²",,,,,
13,,,76 m²,6 / 7,osobna,,wtórny,sprawdź ratę,morizon-553,dzisiaj,wczoraj,,"Mieszkanie na sprzedaż, Warszawa Stara Praga, 76 m² | Morizon.pl | 5868",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-praga-polnoc-targowa-76m2-mzn2041885868,,7,1,Tak,spółdzielcze-własnościowe,247 cm,na wyłączność,osobno,,,1,"3,7 m²","2,5 m²",,,,,
14,Dom Development S.A.,Osiedle Urbino,"37,38 m²",1,aneks,"4,93 m²",pierwotny,sprawdź ratę,morizon-f-89491,dzisiaj,26 stycznia 2023,,"Mieszkanie w inwestycji Osiedle Urbino, Warszawa, 37 m² | Morizon.pl | 2538",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-wlochy-rownolegla-9a-37m2-mzn2041542538,,,,,,,,,,,,,,,,,,
15,Dom Development S.A.,Osiedle Wilno,"59,29 m²",3,aneks,"7,82 m²",pierwotny,sprawdź ratę,morizon-f-98577,dzisiaj,11 lutego 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 59 m² | Morizon.pl | 0775",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-59m2-mzn2041620775,,,,Tak,,,,,,,,,"5,45 m²",,,,,
16,Dom Development S.A.,Osiedle Wilno,"59,29 m²",2,aneks,"7,82 m²",pierwotny,sprawdź ratę,morizon-f-98569,dzisiaj,11 lutego 2023,,"Mieszkanie w inwestycji Osiedle Wilno, Warszawa, 59 m² | Morizon.pl | 0767",https://www.morizon.pl/oferta/sprzedaz-mieszkanie-warszawa-targowek-wierna-24-59m2-mzn2041620767,,,,Tak,,,,,,,,,"5,45 m²",,,,,
